,Defect,Reason,Method
1580,Защита калорифера кабины N 2.,Сработало реле РУ10 защиты калорифера кабины N 2.,"Произошёл перегрев воздуха в канале нагнетания. Убедиться, что во второй кабине электродвигатель работает, переключить рычаг забора воздуха в положение ""с улицы"" и дать ему поработать без включения электрообогревателей для их остывания."
1579,Аварийная остановка тепловоза (ВКА).,Отсутствие сигнала с выключателя ВКА. Блокировка пуска.,Проверить положение соответствующих ключей на пульте управления в обеих кабинах.
1578,Аварийная остановка дизеля Тб3.,Отсутствие сигнала с тумблера Тб3. Блокировка пуска.,Проверить положение соответствующих тумблеров на пульте управления (у помощника машиниста) в обеих кабинах -должны быть включены и опломбированы.
1577,Нет связи с измерителем температуры (ТИ).,"Нет связи между системой МСУТ и ТИ, нет реального отображения и контроля температуры теплоносителей и температуры выхлопных газов.",Проверить линию связи и наличие питания ТИ.
1576,Нет связи с электронным регулятором дизеля (ЭРД).,"Нет связи между системой МСУТ и ЭРД, запуск возможен только на ручном режиме. Тепловоз работает на 0 позиции.",Проверить линию связи проверкой соединения интерфейсных разъемов и наличие питания на блоке управления ЭРД и системой МСУТ.
1575,Нет связи с электронным регулятором дизеля (ЭРД).,"Произошла внезапная остановка дизеля, по показаниям дисплейного модуля определить сообщение","(После остановки дизеля немедленно включить ""Резервный топливный насос"" для предотвращения попадания воздуха в топливную систему)"
1574,РДМ-4.,"Малое давление масла в системе (менее 0,5кг/см2) - срабатывание защитного реле давления масла с остановкой дизеля.","Замерить уровень масла в картере дизеля. Запустить дизель. Давление масла контролируется на дисплейном модуле и по манометрам в дизельном помещении. При давлении масла в масляной системе менее 0,5кг/см2 дизель эксплуатировать запрещается."
1573,Срабатывание предельного регулятора числа оборотов КВ дизеля.,"Разрегулированы датчики тока (ИТ-ТЭД), что приводит к ложному срабатыванию противобоксовочной защиты, т.е. резкое снижение мощности и, как следствие увеличение оборотов дизеля. Дизель разгружается и обороты его достигают предельных величин.",Следовать на более низких позициях КМ.
1572,Разброс по токам ТЭД >50%.,"Неисправность тягового электродвигателя: отсутствие цепи, срыв шестерни привода и т.д.",1. Выявить соответствующий ТЭД по дисплею (наименьшее показание тока).
1571,Разброс по токам ТЭД >50%.,2. Отключить данный ТЭД.,"3. При большом весе поезда, не отключая ТЭД, включить тумблер ""Нагружение на водяные резисторы"". Внимание! При этом выводится из работы противобоксовочная защита."
1570,Разброс по токам ТЭД >50%.,Неисправности в работе дизеля,22
1569,Разброс по токам ТЭД >50%.,"Дизель глохнет при постановке 1-ой позиции, не набирает обороты, вибрация реек ТНВД.",Неисправность одного из датчиков частоты вращения коленчатого вала дизеля.
1568,Разброс по токам ТЭД >50%.,"Проверить датчики оборотов коленчатого вала дизеля. В случае неисправности датчика оборотов дизеля переключить разъемы кабелей (поменять местами) на коробке ДГУ, задействовав в работу тем самым резервный датчик частоты вращения КВ дизеля.",23
1567,Разброс по токам ТЭД >50%.,"Дизель работает неровно, дребезжание реек.",Неисправность датчика положения реек ТНВД.
1566,Разброс по токам ТЭД >50%.,Проверить крепление штекерных разъёмов.,"Если проверка разъёмов результата не дала, то отключаем датчик положения реек ТНВД, для чего необходимо: заглушить дизель, отключить автоматы: А6, А8. Снять разъём на коробке ДГУ, загрузить компьютер. В окне ""Параметры дизеля"" положение топливных реек (коды) высветится ""0"" запустить дизель. При этом мощность дизеля будет выстраиваться по селективной характеристике и произойдет ее уменьшение до 2250 кВт на 15 позиции."
1565,Дизель не запускается.,"1. При неисправности обоих комплектов компьютера (сообщение на ДМ ""Нет связи"") схема тяги не соберётся.","2. При срабатывании АВ6 ""Питание БУ МСУ и датчиков"", когда причина срабатывания не установлена. Схема тяги не соберётся."
1564,Дизель не запускается.,"3. При выдаче аварийного сообщения: ""Нет связи с электронным регулятором"" - на обоих комплектах компьютера.",4. При неисправности топливоподкачивающего агрегата и невозможности устранить поломку.
1563,Дизель не запускается.,5. Для пересылки в горячем состоянии при выше перечисленных неисправностях.,"При невозможности устранения неисправности, как исключение разрешается перейти на ручной запуск дизеля, и следовать с поездом порядком установленным ниже."
1562,Дизель не запускается.,"Ручной пуск производят в исключительных случаях, при невозможности запуска в автоматическом режиме.",Последовательность выполнения ручного запуска дизеля:
1561,Дизель не запускается.,"1. АВ6 ""Питание БУ МСУ и датчиков"" должен быть включен.",2. Отсоединить кабельную часть ШР14 и подсоединить её к ШР15.
1560,Дизель не запускается.,"3. На блоке питания и блоке управления электронного регулятора переключить тумблера ""Резервная работа"" и ""Резервное питание"" в положение ""Включено"".","4. Нажать кнопку ""Пуск дизеля"" и удерживать её до окончания запуска."
1559,Дизель не запускается.,Порядок следования после ручного запуска:,"1. АВ6 ""Питание БУ МСУ и датчиков"" включено."
1558,Дизель не запускается.,"2. АВ7 ""Питание пультовых дисплеев"" включено.","3. АВ8 ""Питание исполнительных устройств"" включено."
1557,Дизель не запускается.,"4. АВ1 ""Управление возбуждением"" включено.","5. Поставить 1-ю позицию. После появления нагрузки на стенке ВВК включить тумблер ""Прогрев 4-я позиция"". Контроллер перевести на 4-ю позицию. Тепловоз будет развивать мощность около 500 кВт."
1556,Дизель не запускается.,"6. Для дальнейшего увеличения нагрузки зайти в окно ""Диагностика""  ""Настройки""  ""Настройка регулятора"". Виртуальный тумблер поставить в положение ""Селективный уровень мощности"" при помощи стрелок свести курсор вниз, при помощи кнопки ""Е"" увеличивать мощность, не перегружая дизель, и не выходя из окна ""Настройка регулятора"".",Отсутствует зарядка аккумуляторной батареи
1555,Нет заряда аккумуляторной батареи. Не работает компрессор.,Неисправность регулятора напряжения цепей управления РНВГ.,Проверить автомат РНВГ.
1554,Нет заряда аккумуляторной батареи. Не работает компрессор.,Напряжение АРН на всех позициях должно быть 110 (+2; - 1) В.,"1. При срабатывании отнять штекер и подсоединить к резервному, включить автомат."
1553,Нет заряда аккумуляторной батареи. Не работает компрессор.,"2. Если при подсоединении к резервному АРН - автомат АРН срабатывает, выключить все потребители стартер - генератора (компрессор, электрокалорифер, автоматы мультициклонных фильтров).",3. Проверить контактор КРН.
1552,Нет заряда аккумуляторной батареи. Не работает компрессор.,Аварийные сообщения на ДМ,26
1551,Нет заряда аккумуляторной батареи. Не работает компрессор.,Задай направление движения.,Тумблер реверсора находится в нейтральном положении.
1550,Нет заряда аккумуляторной батареи. Не работает компрессор.,"Установить тумблер задатчика позиций в положение ""вперед"" или ""назад"" и набрать 1-ю позицию.",27
1549,Нет заряда аккумуляторной батареи. Не работает компрессор.,Отключены все ОМ.,Отключены тумблера ОМ1...ОМ6 на стенке ВВК.
1548,Нет заряда аккумуляторной батареи. Не работает компрессор.,"Поставить все тумблера на ВВК в положение ""Включено"" при нулевом положении задатчика и снова набрать 1-ю позицию.",28
1547,Нет заряда аккумуляторной батареи. Не работает компрессор.,Отключен ОМ (N). Уменьшена мощность.,Отключен один или несколько тумблеров ОМ.
1546,Нет заряда аккумуляторной батареи. Не работает компрессор.,"Поставить все тумблера на ВВК в положение ""Включено"" при нулевом положении задатчика и снова набрать 1-ю позицию.",29
1545,Нет заряда аккумуляторной батареи. Не работает компрессор.,2 катушки реверсора под питанием.,Пробой силовых ключей.
1544,Нет заряда аккумуляторной батареи. Не работает компрессор.,Схема не соберется.,"Заглушить дизель, отключить АВ ""Питание МСУ и датчиков"" и АВ ""Исполнительные устройства"", определить и изъять неисправную плату СК из стойки МСУТ и перейти на резервный комплект, после чего включить автоматы и после загрузки системы произвести запуск дизеля."
1543,Нет питания на катушках реверсора.,"Обрыв электрической цепи, либо обрыв силового ключа платы СК в стойке МСУТ. Схема не соберется",Перейти на резервный комплект.
1542,Переключение реверсора только на нулевой позиции.,В режиме тяги было изменено положение тумблера реверсора на контроллере. Сброс нагрузки (СН).,"Установить нулевую позицию, тумблер реверсирования поставить в требуемое положение и набрать вновь позицию."
1541,Блокировка двери N.,Отсутствие сигнала с блокировки двери ВВК. СН.,Проверить надлежащее закрытие всех дверей ВВК.
1540,Сброс нагрузки РМ2.,Отсутствие сигнала с РМ2. Сброс нагрузки по защите тягового генератора и выпрямительной установки от внутренних коротких замыканий.,"Осмотреть генератор и ВУ на наличие повреждений. При отсутствии видимых причин набрать позиции. Если РМ2 будет снова срабатывать, то до установления истинной причины тепловоз ставить под нагрузку запрещается."
1539,Жалюзи БЖТ N.,В режиме ЭТ отсутствие сигнала с блокировок жалюзи.,Проверить достаточное нажатие и исправность концевых выключателей БЖТ.
1538,Отключен ЭПК. Вас ждут дома!!,Выключен ключ ЭПК.,Включить КЛУБ-У и через 30 сек. повернуть ключ ЭПК.
1537,Неисправен предохранитель ВУ1.,Наличие сигнала с предохранителя ВУ.,"Продолжать движение, не допуская перегрузок."
1536,Неисправны 2 предохранителя ВУ1.,Наличие сигнала с 2-х предохранителей. Сброс нагрузки.,"1.Заглушить дизель, отключить автомат А-6 ""Питание МСУТ и датчиков""."
1535,Неисправны 2 предохранителя ВУ1.,2. Перезагрузить компьютер и обычным порядком запустить дизель.,"3. Если перегорел предохранитель ВУ, то тепловоз повезёт, но мощность будет меньше на 1/6."
1534,Неисправны 2 предохранителя ВУ1.,Заменить предохранитель.,38
1533,Неисправны 2 предохранителя ВУ1.,Аварийная остановка тепловоза по КЛУБ-У (РУ9).,Постоянный свисток ЭПК. Нет нагрузки. Потеряло питание РУ9.
1532,Неисправны 2 предохранителя ВУ1.,"Проверить контакт в КБ1 6-той контактный элемент, 3 контакт РЦ1, микропереключатель в контроллере крана машиниста усл.395.",Выход из положения при неисправности КЛУБ - У:
1531,Неисправны 2 предохранителя ВУ1.,1. Перекрыть краны к ЭПК находящиеся под полами у входа в кабину управления.,"2. Включить тумблер ""Шунтировка ЭПК"""
1530,Неисправны 2 предохранителя ВУ1.,3. Включить ЭПК.,39
1529,Неисправны 2 предохранителя ВУ1.,Экстренное торможение РДТ3.,Наличие сигнала с РДТ3. Сброс нагрузки.
1528,Неисправны 2 предохранителя ВУ1.,Поставь ручку крана машиниста N 395 во 2 положение,40
1527,Неисправны 2 предохранителя ВУ1.,Сначала откачай воздух.,Сброс нагрузки при давлении в ГР менее 5 кг/см2.
1526,Неисправны 2 предохранителя ВУ1.,"Дождись, пока компрессор накачает воздух в пневмосистему до 9 кг/см2.",41
1525,Неисправны 2 предохранителя ВУ1.,Обрыв цепи ТЭД N.,"Сброс нагрузки при всех включенных ОМ и КП, на одном ТЭД (N) ток менее 20А при суммарном токе остальных ТЭД более 600А."
1524,Неисправны 2 предохранителя ВУ1.,"При выдаче сообщения ""Обрыв в цепи ТЭД N..."" выключить этот ТЭД, проверить давление в цепях управления, осмотреть сам ТЭД в доступных местах (на стоянке) на наличие признаков возгорания.",42
1523,Неисправны 2 предохранителя ВУ1.,"Земля в ""+"" или в ""-"" силовой цепи.",Короткое замыкание плюсовой или минусовой силовой цепи на корпус тепловоза. Сброс нагрузки.
1522,Неисправны 2 предохранителя ВУ1.,"При КЗ в силовых цепях - установить КТМ на 1 позицию, если защита не сработает, то место нарушения изоляции в ""минусе"" силовых цепей. В этом случае осмотреть ВУ, провода. Если защита сработает и имеет место замыкание на корпус в ""плюсе"" силовых цепей, то в этом случае выключить все ОМ1...ОМ6 и установить КТМ на высокие позиции. Если РЗ не сработает, то КЗ находится в плюсовых цепях ТЭД. Тогда включить все ТЭД и поочередным их выключением выявить неисправный. Если защита сработает и при всех выключенных ТЭД, то место КЗ находится в плюсовых цепях между ВУ, поездными контакторами или в тормозных резисторах. В этом случае осмотреть ВУ, провода, шины, тормозные резисторы. Если же повреждение не обнаружится, тогда выключить РЗ соответствующим виртуальным тумблером на дисплейном модуле и следовать с особой бдительностью и помнить, что такой режим является аварийным, тепловоз следует до основного или оборотного депо.",43
1521,Неисправны 2 предохранителя ВУ1.,"Сопротивление в ""+"" или ""-"" силовой цепи <500 кОм.",При снижении сопротивления в силовой цепи по плюсу или по минусу.
1520,Неисправны 2 предохранителя ВУ1.,"При срабатывании реле заземления из-за понижения сопротивления силовой цепи, исключив реальное КЗ в электрооборудовании тепловоза на дисплее ""Реле земли"" выключить соответствующий виртуальный тумблер. После этого усилить контроль за силовыми цепями тепловоза, обратив особое внимание на выпрямительную установку.",44
1519,Неисправны 2 предохранителя ВУ1.,Защита по РМ 1.,При превышении тока на выходе ВУ более 7800А. СН.
1518,Неисправны 2 предохранителя ВУ1.,"Если сработала защита тягового генератора АГ1 и выпрямительной установки от токов внешнего короткого замыкания, то необходимо тщательно осмотреть генератор и ВУ. Без установления причины нагружать тепловоз запрещается.",45
1517,Неисправны 2 предохранителя ВУ1.,Нет возбуждения тягового генератора,"На ДМ окно ""Движение"" режим ""тяга"", тепловоз не нагружается и нет ни каких аварийных сообщений."
1516,Неисправны 2 предохранителя ВУ1.,"Это говорит о том, что схема управления собралась, но нет возбуждения главного генератора.",Перейти на резервный полукомплект компьютера.
1515,Неисправны 2 предохранителя ВУ1.,"При выдаче на дисплее аварийного сообщения: ""Нет самовозбуждения"" или ""Нет связи с БВГ1 или БВГ2"" на картинке ""Система возбуждения"" посмотреть величину напряжения возбуждения. Если напряжение возбуждения менее 50В - кратковременно отключить автоматы БВГ1 и БВГ2 на стенке ВВК. Эту операцию необходимо проделать в любом случае, когда тепловоз не нагружается, а на мониторе режим ""тяга"". При положительном результате компьютер выдаст сообщение ""Самовозбуждение состоялось"". Если этого не произошло, предварительно заглушив дизель, перейти на резервный комплект.",46
1514,Неисправны 2 предохранителя ВУ1.,"Мощность 1/2 номинала, 2/3 номинала, 5/6 номинала.","При отключении 3ТЭД, 2ТЭД, 1ТЭД."
1513,Неисправны 2 предохранителя ВУ1.,"Работа с отключением одного, двух или трех ТЭД",47
1512,Неисправны 2 предохранителя ВУ1.,Аварийная остановка дизеля.,При выключении тумблера Тб3 в любой кабине. Останов дизеля.
1511,Неисправны 2 предохранителя ВУ1.,Тумблера должны быть включены и опломбированы.,48
1510,Неисправны 2 предохранителя ВУ1.,Превышение предельной скорости вращения ТЭД.,Сброс нагрузки при превышении скорости вращения одного из ТЭД более 180 км/ч. Срыв шестерни ТЭД.
1509,Неисправны 2 предохранителя ВУ1.,Сбросить позиции и набраться вновь. Если защита опять сработает - определить неисправный ТЭД и произвести его отключение соответствующим ОМ (на 0 позиции).,Неисправности системы МСУТ
1508,Неисправность дисплейного модуля - дисплей не светится.,Неисправность питания.,Неисправен ДМ.
1507,Неисправность дисплейного модуля - дисплей не светится.,"Проверить включение АВ ""Дисплейные модули"" на ВВК.","Проверить контакты разъединителя минусовых цепей управления РЦ2 и контакты разъема 1;3 на ДМ, проверить также крепление интерфейсного кабеля."
1506,Неисправность дисплейного модуля - дисплей не светится.,,Неисправность питания блока БУ - мерцает индикатор БП или БПБ.
1505,Неисправность дисплейного модуля - дисплей не светится.,На БПР (в стойке) мерцают один или несколько индикаторов.,Мерцает индикатор БПД.
1504,Неисправность дисплейного модуля - дисплей не светится.,"Неисправность блоков питания, модулей соответствующего полукомплекта.",Определить неисправный блок.
1503,Неисправность дисплейного модуля - дисплей не светится.,"Проверить предохранитель, неисправный заменить.",
1502,Неисправность дисплейного модуля - дисплей не светится.,,Неисправность блока питания датчиков БПД 1.
1501,Неисправность дисплейного модуля - дисплей не светится.,"Индикатор БПА или БПБ горят постоянно. На дисплее надпись ""Нет связи"".",Неправильное подключение или неисправность компьютера.
1500,Неисправность дисплейного модуля - дисплей не светится.,"Проверьте подключение БПД 1 и предохранитель, неисправный заменить.",Проверить кабель связи компьютера с дисплейным модулем.
1499,Неисправность дисплейного модуля - дисплей не светится.,Проверить подключение компьютера к системе.,"Проверить работу 2-го полукомплекта. В случае невозможности восстановить работу системы, перейти на ручной запуск (схема тяги собираться не будет)."
1498,Неисправность дисплейного модуля - дисплей не светится.,Переход на резервный полукомплект на ТЭП70БС:,"1. Произвести остановку дизеля нажатием КН2 ""Остановка дизеля""."
1497,Неисправность дисплейного модуля - дисплей не светится.,2. Отключить:,"АВ 1 ""Питание БВГ 1""."
1496,Неисправность дисплейного модуля - дисплей не светится.,"АВ 2 ""Питание БВГ 2"".","АВ 6 ""Питание БУ и датчиков""."
1495,Неисправность дисплейного модуля - дисплей не светится.,"АВ 8 ""Питание исполнительных устройств"".",3. Переключением тумблера перевести управление на резервный полукомплект.
1494,Неисправность дисплейного модуля - дисплей не светится.,"4. Произвести включение автоматических выключателей ""Пуск дизеля"", дальнейшее управление выполнять в установленном порядке.",
1493,Неисправность дисплейного модуля - дисплей не светится.,,Приложение N 29
1492,Неисправность дисплейного модуля - дисплей не светится.,к Перечню действий локомотивных,бригад по выявлению и устранению
1491,Неисправность дисплейного модуля - дисплей не светится.,неисправностей на локомотивах,при поездной и маневровой работе
1490,Неисправность дисплейного модуля - дисплей не светится.,,Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ЧМЭ3
1489,Неисправность дисплейного модуля - дисплей не светится.,,N
1488,Неисправность дисплейного модуля - дисплей не светится.,п/п,Неисправность
1487,Неисправность дисплейного модуля - дисплей не светится.,Вероятная причина,Метод устранения
1486,Неисправность дисплейного модуля - дисплей не светится.,Пуск и остановка дизеля,1
1485,Неисправность дисплейного модуля - дисплей не светится.,При включении АБ не включается контактор управления (АВ-220 включен).,Отсутствует контакт у АВ-220 на 6 А.
1484,Неисправность дисплейного модуля - дисплей не светится.,Переключить несколько раз автоматический переключатель.,
1483,Неисправность дисплейного модуля - дисплей не светится.,,Перегорел плавкий предохранитель минусовой цепи П100 на100 А.
1482,Неисправность дисплейного модуля - дисплей не светится.,Заменить предохранитель П100 на 100А.,2
1481,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск дизеля"" запуск проходит нормально, после отпуска кнопки запуск прекращается (нет автоматического пуска)",Отсутствует контакт КМН2 между проводами 208 и 247.
1480,Неисправность дисплейного модуля - дисплей не светится.,"Удерживать кнопку КНПД1 ""Пуск дизеля"" до окончания запуска",3
1479,Неисправность дисплейного модуля - дисплей не светится.,"Вал дизеля вращается, но запуска нет.",Сработал предельный регулятор числа оборотов.
1478,Неисправность дисплейного модуля - дисплей не светится.,Привести предельный регулятор в рабочее положение.,4
1477,Неисправность дисплейного модуля - дисплей не светится.,Дизель запускается с трудом.,Заклинивание одной из реек ТНВД.
1476,Неисправность дисплейного модуля - дисплей не светится.,"Проверить свободность хода реек, если не удается, отключить топливный насос.",5
1475,Неисправность дисплейного модуля - дисплей не светится.,"При включении автомата 220 ""Управление"" не включается контактор управления КУ.",1. Неисправен автомат 220.
1474,Неисправность дисплейного модуля - дисплей не светится.,2. Нет контакта у переключателя ПСМЕ 6,3. Перегорел предохранитель П100 (100А) или плохой контакт в стойках (не горит освещение в кабине).
1473,Неисправность дисплейного модуля - дисплей не светится.,1. Выключить или произвести переключение АВ-220.,2. Между верхними и нижними выводами автоматами
1472,Неисправность дисплейного модуля - дисплей не светится.,"АВ-220 поставить перемычку из провода диаметром 0,25 мм.",3. Поставить перемычку пр. 220-209 на переключателе режимов.
1471,Неисправность дисплейного модуля - дисплей не светится.,4. Правый нож рубильника БА на провод 220 КУ.,5. Правый нож АБ на провод 220 на переключателе режимов.
1470,Неисправность дисплейного модуля - дисплей не светится.,6. Заменить плавкий предохранитель П-100 на 100 А.,7. Между силовыми КУ заложить электрощётку.
1469,Неисправность дисплейного модуля - дисплей не светится.,8. Устранить перекос.,6
1468,Неисправность дисплейного модуля - дисплей не светится.,"При включении и выключении выключателя ""Стоп"" в положение ""Пуск"" не включается блок-магнит ЭМОД.",Перегорела включающая катушка ЭМОД.
1467,Неисправность дисплейного модуля - дисплей не светится.,"Снять крышку блок-магнита, заклинить путем утопления плунжера изолированным предметом. Дизель глушить, вынуть клин или нажатием рукоятки топливных насосов от себя до отказа.",7
1466,Неисправность дисплейного модуля - дисплей не светится.,"Выбивает автомат АВ220 ""Управление""",Замыкание в цепи кат. ЭМОД
1465,Неисправность дисплейного модуля - дисплей не светится.,Отсоединить провод от катушки ЭМОД заизолировать. Блок-магнит заклинить.,8
1464,Неисправность дисплейного модуля - дисплей не светится.,Не включается блок-магнит,"Плохой контакт в поворотном выключателе ""Стоп"". Нет контакта в РАВ 2."
1463,Неисправность дисплейного модуля - дисплей не светится.,Соединить перемычкой провода 220 и 2602. Поставить перемычку на кл. РШ4 с провода 220 и 2602.,9
1462,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1 не включается пусковой контактор КД1 и реле времени РВ1.",Нет контакта или неисправный палец КМР1 между проводами 202 и 208 на реверсивном барабане контроллера.
1461,Неисправность дисплейного модуля - дисплей не светится.,"Если не включается, то соединить провод 202 и 208 на РШ 4.",
1460,Неисправность дисплейного модуля - дисплей не светится.,,Нет контакта в кнопке КНПД.
1459,Неисправность дисплейного модуля - дисплей не светится.,Соединить провод 208 и 247 на кл. РШ4 (после запуска перемычку снять).,10
1458,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1, лампа контрольная Л17 не горит.","Плохой контакт в поворотном выключателе ""Стоп"" ВОД 12 между проводами 247 и 255."
1457,Неисправность дисплейного модуля - дисплей не светится.,"Соединить перемычкой провода 247 и 255, после запуска дизеля перемычку снять.",11
1456,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1, РВ включается, а пусковой контактор КД1 не включается.","Нет контакта, хотя бы у одного блок-контакта КП12, КП22, КП32."
1455,Неисправность дисплейного модуля - дисплей не светится.,"Посмотреть блокировки КП12, КП22, КП32 или соединить провод 255 с 239 на контакторах КП1, 239 и 210 на КП2, провод 210 и 211 на КП3.",12
1454,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1, включаются оба одновременно пусковых контактора КД1 и КД2.","Нарушены контакты размыкающих блокировок контактора КД2, КМН и контакты РВ."
1453,Неисправность дисплейного модуля - дисплей не светится.,"Проверить размыкающие блок контакты КМН, КД2 между проводами 255 и 280, 280 и 259 контакты РВ между проводами 259 и 275. Восстановить контакты, зачистить их. Устранить механическое заедание РВ.",13
1452,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1, дизель запускается без прокачки масла.",Пробит конденсатор С1
1451,Неисправность дисплейного модуля - дисплей не светится.,"Запуск производить, предварительно вручную включив КМН. Прокачать систему и включив выключатель ""Стоп"", нажать на кнопку ""Пуск"".",14
1450,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии на кнопку ""Пуск"" контактор КМН не включается КД1, РВ включены при отпуске кнопки ""Пуск"" КД1 и РВ отключаются.",Плохой контакт у замыкающего контакта КД12 между проводами 255 и 258.
1449,Неисправность дисплейного модуля - дисплей не светится.,Восстановить контакт.,15
1448,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1 включились КД1 и РВ, но с включением КМН выбивает автомат АВ251 ""Масляный насос"".",Заклинило МН или произошла перегрузка двигателя из-за низкой температуры масла. Замыкание в токопроводящих проводах МН.
1447,Неисправность дисплейного модуля - дисплей не светится.,"Пуск произвести без прокачки масла, выключив перед этим автомат АВ-251 ""Масляный насос"". По прибытию в депо устранить неисправность.",16
1446,Неисправность дисплейного модуля - дисплей не светится.,"При нажатии кнопки ""Пуск"" дизеля КНПД1 включились КД1, РВ и КМН. Но МН не включается.",Зависли щетки в обоймах щеткодержателей МН.
1445,Неисправность дисплейного модуля - дисплей не светится.,"Электрощётки вытащить, подчистить наждачной бумагой по месту и поставить в обоймы щеткодержателей.",17
